coverage_tier,property_name,molecule_count,present_count,missing_count,coverage_fraction
A,boiling_point_c,32,32,0,1.0
A,critical_temp_c,32,32,0,1.0
A,critical_pressure_mpa,32,32,0,1.0
A,gwp_100yr,32,32,0,1.0
A,odp,32,32,0,1.0
A,ashrae_safety,32,29,3,0.90625
A,toxicity_class,32,29,3,0.90625
A,viscosity_liquid_pas,32,26,6,0.8125
A,thermal_conductivity_liquid_wmk,32,25,7,0.78125
A,cop_standard_cycle,32,32,0,1.0
B,boiling_point_c,48,48,0,1.0
B,critical_temp_c,48,48,0,1.0
B,critical_pressure_mpa,48,48,0,1.0
B,gwp_100yr,48,29,19,0.6041666666666666
B,odp,48,46,2,0.9583333333333334
B,ashrae_safety,48,25,23,0.5208333333333334
B,toxicity_class,48,24,24,0.5
B,viscosity_liquid_pas,48,22,26,0.4583333333333333
B,thermal_conductivity_liquid_wmk,48,19,29,0.3958333333333333
B,cop_standard_cycle,48,43,5,0.8958333333333334
C,boiling_point_c,40,39,1,0.975
C,critical_temp_c,40,39,1,0.975
C,critical_pressure_mpa,40,39,1,0.975
C,gwp_100yr,40,28,12,0.7
C,odp,40,39,1,0.975
C,ashrae_safety,40,7,33,0.175
C,toxicity_class,40,7,33,0.175
C,viscosity_liquid_pas,40,13,27,0.325
C,thermal_conductivity_liquid_wmk,40,13,27,0.325
C,cop_standard_cycle,40,21,19,0.525
